"This tab has one table with estimates for alcohol consumption, by age and sex, of persons aged 15 years and over. It ranges from cell A1 to R91.",,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,
"Table 7.1 Alcohol consumption – Australian Adult Alcohol Guideline 2020(a), by age and sex(b) — Persons aged 15 years and over, Estimate",,,,,,,,,,,,,,,,,,,
"National Health Survey, 2022 — Australia",,,,,,,,,,,,,,,,,,,
,Age group (years),,,,,,,,,,,,,,,,,,
,15–17(c),18–24,25–34,35–44,45–54,55–64,65 years and over,15–24,15–44,25–44,45–64,65–74,75 years and over,18–44,45 years and over,Total 18 years and over,Total 15 years and over,,
,ESTIMATE ('000),,,,,,,,,,,,,,,,,,
,PERSONS AGED 15 YEARS AND OVER(d),,,,,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,
Exceeded guideline(e),,,,,,,,,,,,,,,,,,,
Consumed more than 10 drinks in the last week,**22.0,318.6,508.9,636.0,665.6,731.8,802.1,346.3,"1,487.0","1,138.9","1,401.9",519.9,285.5,"1,460.2","2,207.4","3,668.0","3,687.5",,
Consumed 5 or more drinks on any day in the last 12 months at least monthly(f),*21.1,732.9,860.3,734.1,682.1,593.6,448.9,761.1,"2,343.1","1,584.0","1,275.6",337.1,113.0,"2,322.7","1,736.3","4,056.3","4,080.3",,
Total exceeded guideline,*45.9,783.6,948.8,890.6,894.0,876.1,918.5,829.3,"2,657.7","1,843.6","1,774.2",606.2,313.4,"2,615.2","2,684.9","5,298.4","5,350.2",,
Did not exceed guideline,,,,,,,,,,,,,,,,,,,
Consumed alcohol in the last week but did not exceed guideline,67.7,432.0,939.5,"1,091.8",933.7,877.3,"1,238.7",500.4,"2,528.3","2,029.7","1,809.3",698.9,537.6,"2,463.4","3,043.0","5,514.2","5,568.7",,
Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,192.9,545.8,"1,004.3",807.8,705.6,551.4,792.2,743.1,"2,565.4","1,820.5","1,255.4",488.7,307.7,"2,374.5","2,054.3","4,426.3","4,613.0",,
Never consumed alcohol,575.5,300.9,413.7,356.2,291.3,266.8,467.1,868.6,"1,651.8",778.7,556.4,217.8,246.6,"1,075.0","1,025.6","2,101.4","2,675.4",,
Consumed alcohol 12 or more months ago,*28.5,90.3,336.4,366.0,373.5,334.2,697.9,123.3,839.9,707.3,705.7,352.8,348.6,802.2,"1,409.7","2,204.7","2,239.9",,
Total did not exceed guideline(g) ,862.4,"1,385.2","2,696.1","2,628.0","2,299.8","2,034.0","3,198.5","2,238.5","7,571.4","5,331.0","4,327.8","1,759.2","1,435.9","6,707.6","7,538.4","14,242.5","15,104.7",,
"Total persons, 15 years and over(h)",924.8,"2,171.9","3,686.3","3,557.3","3,226.7","2,973.3","4,199.8","3,086.5","10,326.9","7,244.8","6,199.6","2,404.7","1,792.9","9,414.7","10,392.0","19,806.8","20,726.3",,
Number of standard drinks consumed in a week when exceeding the guideline,,,,,,,,,,,,,,,,,,,
More than 10 to 12,**11.9,*59.4,65.8,129.9,117.4,111.6,145.9,*74.0,274.3,200.0,230.7,80.4,65.5,261.2,373.5,639.5,648.8,,
More than 12 to 14,**7.2,*35.5,72.4,73.8,77.8,95.2,83.1,*45.3,183.6,150.2,171.4,56.3,*27.9,174.1,259.0,440.7,450.1,,
More than 14,**15.4,219.6,367.3,425.5,477.9,522.6,568.6,232.0,"1,035.2",801.3,995.9,381.0,186.4,"1,016.4","1,569.4","2,591.6","2,595.5",,
Total persons who exceeded guideline and consumed in the last week,**22.0,318.6,511.7,636.0,665.6,731.8,802.1,346.3,"1,488.2","1,141.4","1,401.9",519.9,285.5,"1,456.6","2,207.4","3,669.1","3,688.5",,
Number of standard drinks consumed on a single day within the last month when exceeding the guideline,,,,,,,,,,,,,,,,,,,
5 to less than 7,**7.6,267.5,310.6,277.6,323.2,269.7,259.9,272.4,850.4,589.3,591.7,182.7,79.1,844.3,850.9,"1,695.6","1,703.3",,
7 to less than 11,**18.7,245.3,303.1,259.8,193.4,176.6,147.2,254.9,830.6,566.0,368.5,119.0,*27.9,808.3,519.8,"1,325.8","1,346.0",,
11 or more,0.0,237.9,241.2,188.8,168.4,151.1,44.3,241.1,662.4,427.0,319.5,*38.4,**2.8,666.9,365.8,"1,030.9","1,026.7",,
Total persons who exceeded guideline and consumed in the last month,*21.1,732.9,860.3,734.1,682.1,593.6,448.9,761.1,"2,343.1","1,584.0","1,275.6",337.1,113.0,"2,322.7","1,736.3","4,056.3","4,080.3",,
"Total persons, 15 years and over",924.8,"2,171.9","3,686.3","3,557.3","3,226.7","2,973.3","4,199.8","3,086.5","10,326.9","7,244.8","6,199.6","2,404.7","1,792.9","9,414.7","10,392.0","19,806.8","20,726.3",,
,MALES AGED 15 YEARS AND OVER,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,,,,,
Exceeded guideline(e),,,,,,,,,,,,,,,,,,,
Consumed more than 10 drinks in the last week,**12.5,212.6,370.9,454.0,415.6,476.2,549.5,229.0,"1,049.4",826.6,890.2,347.2,198.8,"1,030.6","1,433.2","2,468.4","2,487.2",,
Consumed 5 or more drinks on any day in the last 12 months at least monthly(f),*18.2,446.1,564.3,519.7,453.3,441.6,368.8,450.9,"1,545.2","1,086.0",893.4,269.8,93.4,"1,520.7","1,255.9","2,788.9","2,797.4",,
Total exceeded guideline,*28.7,470.6,627.2,622.2,545.0,585.4,633.4,493.7,"1,739.9","1,253.8","1,128.8",417.8,215.2,"1,717.5","1,761.9","3,478.9","3,503.6",,
Did not exceed guideline,,,,,,,,,,,,,,,,,,,
Consumed alcohol in the last week but did not exceed guideline,*32.1,187.3,418.4,510.5,446.8,376.1,587.8,219.2,"1,144.6",922.6,825.8,317.3,271.5,"1,114.3","1,414.0","2,518.4","2,550.5",,
Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,93.7,255.6,437.6,331.1,336.5,226.4,350.6,349.7,"1,117.3",760.7,549.6,216.2,130.6,"1,027.4",899.9,"1,923.4","2,012.3",,
Never consumed alcohol,287.9,161.5,209.8,133.1,86.2,84.7,111.0,459.8,808.3,348.1,174.5,57.5,60.3,520.4,290.1,801.0,"1,100.2",,
Consumed alcohol 12 or more months ago,*19.3,*31.1,117.7,136.0,156.0,149.5,284.5,51.8,312.5,262.5,305.4,140.3,138.2,284.5,595.3,885.5,903.2,,
Total did not exceed guideline(g) ,435.6,648.8,"1,182.7","1,115.4","1,027.2",839.5,"1,324.6","1,083.4","3,375.7","2,295.7","1,868.4",726.5,602.9,"2,935.1","3,197.6","6,137.0","6,569.0",,
"Total males, 15 years and over(h)",471.3,"1,112.0","1,832.4","1,749.0","1,585.9","1,445.2","1,983.6","1,590.7","5,171.6","3,581.2","3,037.2","1,149.1",835.7,"4,691.3","5,019.6","9,712.9","10,191.0",,
Number of standard drinks consumed in a week when exceeding the guideline,,,,,,,,,,,,,,,,,,,
